scenario,time_bin,n_edges,nnz,total_weight,source_entropy_bits,destination_entropy_bits,edge_gini,top_edge_share,top_source_share,top_destination_share,unique_sources,unique_destinations,total_weight_robust_z,nnz_robust_z,source_entropy_bits_robust_z,destination_entropy_bits_robust_z,edge_gini_robust_z,top_edge_share_robust_z,top_source_share_robust_z,top_destination_share_robust_z,unique_sources_robust_z,unique_destinations_robust_z,anomaly_score,injected_anomaly
scanner_fanout,3,5081,4908,22900529.0,10.957752178537717,10.94756710942539,0.4795566954282451,0.0018201762937441314,0.0021532253687240152,0.00232147475719884,2830,2844,0.5322867530335934,1.0823529411764705,0.6109077024392573,-0.22366351931276515,-0.10043726442587726,0.2545435108955817,-1.61724629976637,-0.7402263826125144,-0.7380952380952381,0.037037037037037035,2.51712794458194,False
scanner_fanout,4,4982,4826,22467446.0,10.935976355052318,10.94524406650493,0.4798548857914502,0.00177817273934919,0.002447407684878824,0.0021872535044704234,2833,2842,-0.9737143632105407,-0.8470588235294118,-1.0807246824528034,-0.3807664466240483,0.0683467667681868,-0.010195248203758635,-0.21864720060010773,-1.6990958603116373,-0.5952380952380952,-0.1111111111111111,0.0,False
scanner_fanout,5,4930,4771,22192559.0,10.948641684550154,10.921953892340564,0.4821290282311361,0.0017814079034328579,0.0023224901643834764,0.0024887170515126263,2818,2819,-1.929605332934592,-2.1411764705882352,-0.0968316251715023,-1.955836156522488,1.3555745777342776,0.010195248203758635,-0.8125290284355315,0.4545436566922356,-1.3095238095238095,-1.8148148148148149,0.46473890489599423,False
scanner_fanout,6,5021,4871,22760049.0,10.936750747069542,10.965928119488074,0.4812083719331963,0.0015867276911398565,0.0027821556974679624,0.0024534217830550365,2831,2868,0.04378215504665796,0.21176470588235294,-1.0205668374089123,1.0180562973265237,0.8344575314278624,-1.2168294302089857,1.3728089921932538,0.20239613949048138,-0.6904761904761905,1.8148148148148149,4.663623104754084,False
scanner_fanout,7,5013,4853,22350020.0,10.93157965107843,10.967124574580156,0.47959256437929,0.0016241148777495502,0.0022983872050226354,0.002361921823783603,2822,2844,-1.3820510725158786,-0.21176470588235294,-1.4222780953008174,1.0989702553541412,-0.08013444146745342,-0.9811865773160939,-0.9271191155962217,-0.451274694096631,-1.119047619047619,0.037037037037037035,1.1360072923911781,False
scanner_fanout,8,4898,4756,22839693.0,10.937280247243539,10.909252637413799,0.48671589209261623,0.001948406224199248,0.0027552034083820655,0.0025547628858233777,2844,2820,0.32073588655343105,-2.4941176470588236,-0.9794331625910878,-2.814797612613935,3.9518669755085862,1.062747320242026,1.2446726455606185,0.9263715778478636,-0.07142857142857142,-1.7407407407407407,3.5545274302039394,False
scanner_fanout,9,4956,4823,22102072.0,10.980352222571561,10.967506661238467,0.4794912282812094,0.0019319455660084719,0.002721464304342145,0.0021249138994751263,2884,2852,-2.2442644698796648,-0.9176470588235294,2.3665688104231424,1.1248100416011035,-0.1374934887407451,0.958999571125125,1.0842704802174175,-2.1444466767189323,1.8333333333333333,0.6296296296296297,7.997611866329751,False
scanner_fanout,10,5043,4896,22706340.0,10.964858828982809,10.970836322593073,0.47633462846842667,0.0015286479459040955,0.0026046910246213173,0.002472745497513029,2857,2839,-0.14298530974036022,0.8,1.1629805114921885,1.3499886386715725,-1.9242166931436377,-1.5828927289943127,0.5291079335390659,0.3404437259411447,0.5476190476190477,-0.3333333333333333,4.730139857263019,False
scanner_fanout,11,4950,4807,22506306.0,10.950817693182096,10.952772146108416,0.4803206338209147,0.0020215667555573092,0.0028492458957947164,0.002327658745953245,2877,2829,-0.8385827524633004,-1.2941176470588236,0.07220936076712733,0.1283431063347999,0.33197309288001714,1.5238613513230246,1.691768650167074,-0.6960482964562805,1.5,-1.0740740740740742,4.916182468592026,False
scanner_fanout,12,5062,4883,23297190.0,10.948958638805859,10.948976589276173,0.4857256473525493,0.0021610760782738176,0.0024334265205374554,0.0025146809550851412,2862,2843,1.9116341501157104,0.49411764705882355,-0.07220936076712733,-0.12834310633467977,3.391360937349837,2.4031565802812134,-0.285116334804775,0.6400284003638086,0.7857142857142857,-0.037037037037037035,6.234651063533842,False
scanner_fanout,13,4964,4799,22044612.0,10.908468762399664,10.948577054374377,0.4819049928786536,0.0020908056807713376,0.002532909175266954,0.002378313576124633,2803,2849,-2.4440756472738085,-1.4823529411764707,-3.2176236425701825,-0.15536288374915114,1.2287643431058388,1.9602583993009786,0.1878432676144495,-0.334172888784025,-2.0238095238095237,0.4074074074074074,2.5555090743228357,False
scanner_fanout,14,5099,4950,23208392.0,10.969825364244866,10.970004166031758,0.4796133896373138,0.0018218840839985813,0.0021608562971532023,0.002129445245495681,2877,2856,1.6028483351097031,2.070588235294118,1.548800680159359,1.2937114900178524,-0.0683467667681868,0.265307320751146,-1.5809674038546015,-2.112074982194558,1.5,0.9259259259259259,9.207181987258103,False
scanner_fanout,15,5060,4884,23125623.0,10.947785670464743,10.962286715613335,0.47896556431060566,0.0016254697224805576,0.002284695205832941,0.0026158862833662905,2810,2850,1.315027740927039,0.5176470588235295,-0.16333019638630078,0.7717951528570717,-0.43503390238230005,-0.972647302056513,-0.9922135032629988,1.3630338730192466,-1.6904761904761905,0.48148148148148145,4.4489853071083685,False
